run_id,seed,pop_size,tournament_size,crossover_rate,mutation_rate,mutation_sigma,elitism_count,trial,converged_gen,final_best_fitness,final_mean_fitness,final_landing_rate,final_mean_fuel_remaining,final_mean_landed_fuel_remaining,final_best_landed_fuel_remaining,total_seconds
pop100_t5_cr0.9_mr0.1_s0.1_e5_trial2,61,100,5,0.9,0.1,0.1,5,2,77,120.7561,98.9379,0.75,0.275,0.2603,0.613,78.9
pop100_t5_cr0.9_mr0.1_s0.1_e5_trial3,62,100,5,0.9,0.1,0.1,5,3,91,112.5026,74.0776,0.53,0.291,0.1315,0.4167,82.7
pop100_t5_cr0.7_mr0.05_s0.1_e5_trial1,63,100,5,0.7,0.05,0.1,5,1,74,112.0779,95.5756,0.81,0.2445,0.2192,0.5321,78.8
pop100_t5_cr0.7_mr0.05_s0.1_e5_trial2,64,100,5,0.7,0.05,0.1,5,2,38,120.5154,87.4283,0.65,0.2281,0.1448,0.4168,80.6
pop100_t5_cr0.7_mr0.05_s0.1_e5_trial3,65,100,5,0.7,0.05,0.1,5,3,111,121.1123,63.4063,0.23,0.5293,0.1988,0.4574,77.1
pop100_t5_cr0.7_mr0.2_s0.1_e5_trial1,66,100,5,0.7,0.2,0.1,5,1,80,120.176,92.3871,0.64,0.3173,0.2312,0.5188,79.5
pop100_t5_cr0.7_mr0.2_s0.1_e5_trial2,67,100,5,0.7,0.2,0.1,5,2,119,114.8427,73.8333,0.32,0.459,0.3223,0.5751,77.1
pop100_t5_cr0.7_mr0.2_s0.1_e5_trial3,68,100,5,0.7,0.2,0.1,5,3,146,105.5698,71.5451,0.35,0.2681,0.0843,0.271,79.0
pop100_t5_cr0.7_mr0.1_s0.05_e5_trial1,69,100,5,0.7,0.1,0.05,5,1,76,115.4059,85.7726,0.57,0.1489,0.1515,0.4531,83.7
pop100_t5_cr0.7_mr0.1_s0.05_e5_trial2,70,100,5,0.7,0.1,0.05,5,2,23,116.896,86.675,0.69,0.1479,0.1615,0.3436,80.3
pop100_t5_cr0.7_mr0.1_s0.05_e5_trial3,71,100,5,0.7,0.1,0.05,5,3,21,117.1269,95.4994,0.68,0.2302,0.1848,0.4279,84.2
pop100_t5_cr0.7_mr0.1_s0.2_e5_trial1,72,100,5,0.7,0.1,0.2,5,1,187,126.3754,101.5629,0.85,0.3705,0.3224,0.5862,76.1
pop100_t5_cr0.7_mr0.1_s0.2_e5_trial2,73,100,5,0.7,0.1,0.2,5,2,115,120.3831,81.1166,0.5,0.3517,0.3076,0.6326,77.9
pop100_t5_cr0.7_mr0.1_s0.2_e5_trial3,74,100,5,0.7,0.1,0.2,5,3,176,116.2902,88.8634,0.5,0.3738,0.305,0.5844,77.1
pop100_t5_cr0.7_mr0.1_s0.1_e1_trial1,75,100,5,0.7,0.1,0.1,1,1,134,109.81,76.2421,0.43,0.1948,0.0769,0.2892,74.0
pop100_t5_cr0.7_mr0.1_s0.1_e1_trial2,76,100,5,0.7,0.1,0.1,1,2,116,116.4009,95.9027,0.7,0.2847,0.2358,0.4956,82.5
pop100_t5_cr0.7_mr0.1_s0.1_e1_trial3,77,100,5,0.7,0.1,0.1,1,3,57,106.0319,72.8024,0.38,0.2695,0.0874,0.3263,80.3
pop100_t5_cr0.7_mr0.1_s0.1_e10_trial1,78,100,5,0.7,0.1,0.1,10,1,96,107.0235,86.9263,0.68,0.1353,0.1003,0.3423,80.3
pop100_t5_cr0.7_mr0.1_s0.1_e10_trial2,79,100,5,0.7,0.1,0.1,10,2,67,125.8439,106.9004,0.88,0.3823,0.3832,0.6715,81.5
pop100_t5_cr0.7_mr0.1_s0.1_e10_trial3,80,100,5,0.7,0.1,0.1,10,3,96,114.5036,96.7893,0.81,0.1446,0.1171,0.4158,80.7
